,Authority,DRS Glass Bottles,DRS Plastic Bottles,DRS Ferrous Cans,DRS Aluminium Cans,DRS Beverage Cartons
0,Blaenau Gwent CBC,147.23243095,7.53257827733,16.4575418745,4.11438546863,1.000668
1,Bridgend CBC,2.79,8.735,1.712,0.428,3.72726
2,Caerphilly CBC,372.601371308,19.0627090615,41.6491300948,10.4122825237,6.0192
3,Cardiff County Council,734.224885922,37.5637785146,82.0711627691,20.5177906923,13.2768
4,Carmarthenshire County Council,388.960530302,0.36,43.4777458586,10.8694364647,2.150784
5,Ceredigion County Council,165.528858773,8.46864429133,18.502704242,4.6256760605,1.99586661521
6,City  and County of Swansea ,500.461113975,36.12,55.9412059332,13.9853014833,12.238992
7,Conwy CBC,152.5875,48.28,41.744,10.436,4.058052
8,Denbighshire County Council,208.148772995,10.6491274769,23.2667295215,5.81668238037,0.805896
9,Flintshire County Council,10.05,16.4857743877,36.0189184009,9.00472960021,3.6163032
10,Gwynedd Council,378.18,10.98,28.6322731443,7.15806828608,9.015792
11,Isle of Anglesey CC,147.662935134,7.55460336002,16.505663342,4.1264158355,1.78044798184
12,Merthyr Tydfil CBC,273.945,6.13398552701,38.256,9.564,1.38654
13,Monmouthshire CC,189.63709308,9.70204892154,21.1975064203,5.29937660507,2.286552
14,Neath Port Talbot CBC,475.5,15.1312318027,14.4,3.6,3.216
15,Newport City Council,413.8875,15.560720915,33.9978167671,8.49945419179,3.42948
16,Pembrokeshire County Council,116.8125,12.8956859105,28.1751192033,7.04377980084,0.082752
17,Powys County Council,282.625996838,14.4594667809,31.5917433937,7.89793584842,5.7177648
18,Rhondda Cynon Taff CBC,504.335651631,25.8023843623,56.3742991404,14.0935747851,6.0810344336
19,Torfaen CBC,194.803143289,9.96634991372,21.7749640299,5.44374100748,2.184048
20,Vale of Glamorgan Council,269.06511504,13.7656766764,30.0759171684,7.5189792921,4.142304
21,Wrexham CBC,287.576794955,14.7127552317,32.1451402696,8.03628506739,4.2768
