,Authority,DRS Glass Bottles,DRS Plastic Bottles,DRS Ferrous Cans,DRS Aluminium Cans,DRS Beverage Cartons
0,Blaenau Gwent CBC,1137.12885,475.75935,71.82615,120.18435,22.04565
1,Bridgend CBC,2104.996032,1026.146196,100.216242,163.524852,33.365517
2,Caerphilly CBC,2850.724383,1192.704573,180.064517,301.296073,55.267327
3,Cardiff County Council,5240.660139,2192.621409,331.023561,553.890909,101.601291
4,Carmarthenshire County Council,2080.729131,870.548961,131.428169,219.914461,40.339339
5,Ceredigion County Council,867.303996,362.868276,54.782804,91.666276,16.814524
6,City  and County of Swansea ,3110.968029,2065.588192,196.502671,328.801499,60.312701
7,Conwy CBC,2047.4757,730.205162,79.612776,133.089768,27.835892
8,Denbighshire County Council,1554.261579,650.282049,98.174121,164.271549,30.132651
9,Flintshire County Council,2461.342464,1119.5038,80.83467,156.678126,33.814211
10,Gwynedd Council,2083.564572,775.489812,83.658708,89.737629,17.82
11,Isle of Anglesey CC,1123.49424,475.216368,44.611459,74.577587,13.940607
12,Merthyr Tydfil CBC,974.3512896,407.6554176,61.5443904,102.9802176,18.8898624
13,Monmouthshire CC,1732.833102,724.993962,109.453498,183.144962,33.594638
14,Neath Port Talbot CBC,2060.4396,535.2056,105.11474,175.88506,32.26294
15,Newport City Council,2421.538368,947.256156,110.742912,230.294655,35.151768
16,Pembrokeshire County Council,1524.318336,737.244021,111.302909,186.239521,34.162279
17,Powys County Council,2370.5518416,133.3651813,103.7601381,173.6184489,31.8471711
18,Rhondda Cynon Taff CBC,4737.66546,2732.802028,212.421335,355.107655,23.89
19,Torfaen CBC,1365.252924,559.831261,75.481497,126.579084,19.479129
20,Vale of Glamorgan Council,2008.83969,840.47139,126.88731,212.31639,38.94561
21,Wrexham CBC,1321.04583,552.70773,83.44317,139.62273,25.61127
