,Authority,DRS Glass Bottles,DRS Plastic Bottles,DRS Ferrous Cans,DRS Aluminium Cans,DRS Beverage Cartons
0,Blaenau Gwent CBC,254.111376,188.092244,19.35730776,40.5457122,46.088828
1,Bridgend CBC,402.71028,298.08457,30.6770478,64.2559785,73.04059
2,Caerphilly CBC,522.756324,386.942181,39.82173174,83.41038405,94.813647
3,Cardiff County Council,1000.374792,740.473498,76.20502092,159.6186249,181.440526
4,Carmarthenshire County Council,294.23124,217.78881,22.4134974,46.9471905,53.36547
5,Ceredigion County Council,189.715308,140.426527,14.45184258,30.27075135,34.409149
6,City  and County of Swansea ,469.493556,347.517289,35.76436206,74.91183945,85.153243
7,Conwy CBC,391.055148,289.457487,29.78920098,62.39629935,70.926669
8,Denbighshire County Council,249.678048,184.810712,19.01959248,39.8383356,45.284744
9,Flintshire County Council,445.6557276,329.8726219,33.948480426,71.108303595,80.8297153
10,Gwynedd Council,400.720872,296.612018,30.52550172,63.9385509,72.679766
11,Isle of Anglesey CC,313.498224,232.050156,23.88118824,50.0214078,56.859972
12,Merthyr Tydfil CBC,214.01436,158.41259,16.3028586,34.1478795,38.81633
13,Monmouthshire CC,116.663724,86.354031,8.88703074,18.61472655,21.159597
14,Neath Port Talbot CBC,526.8096,389.9424,40.130496,84.05712,95.5488
15,Newport City Council,504.133776,373.157844,38.40313176,80.4389922,91.436028
16,Pembrokeshire County Council,380.720304,281.807676,29.00192904,60.7472838,69.052212
17,Powys County Council,389.0328144,287.9605636,29.635146744,62.07361818,70.5598732
18,Rhondda Cynon Taff CBC,625.466856,462.968114,47.64585756,99.7987557,113.442518
19,Torfaen CBC,357.934116,264.941429,27.26615766,57.11154645,64.919423
20,Vale of Glamorgan Council,281.70054,208.513635,21.4589529,44.94780675,51.092745
21,Wrexham CBC,508.972452,376.739413,38.77172502,81.21104565,92.313631
