,Authority,DRS Glass Bottles,DRS Plastic Bottles,DRS Ferrous Cans,DRS Aluminium Cans,DRS Beverage Cartons
0,Blaenau Gwent CBC,34.23,1.264,390.2042057,131.6895761,23.24546871
1,Bridgend CBC,105.4125,0.6,1247.733856,55.73,74.3307168
2,Caerphilly CBC,24.81,3949.65484,2683.605025,905.686825,159.8692575
3,Cardiff County Council,32.04,3321.5511728,2256.838073,761.657729,0.31
4,Carmarthenshire County Council,2797.65,339.59,52.88,13.22,148.1376735
5,Ceredigion County Council,1000.1025,58.07,14.26,14.42,0.03
6,City  and County of Swansea ,380.588635,317.77,1744.494029,588.747317,11.21
7,Conwy CBC,377.4975,170.2,53.48,13.37,56.9829447
8,Denbighshire County Council,73.8015,79.9,610.0166321,205.8738233,36.34026063
9,Flintshire County Council,310.08,31.46,38.0336,9.5084,4.796
10,Gwynedd Council,235.8825,25.46,1004.540345,339.021185,1.82
11,Isle of Anglesey CC,168.637,94.97,5.816,1.454,1.71
12,Merthyr Tydfil CBC,94.89675,13.46,3.4208,0.8552,34.00777206
13,Monmouthshire CC,113.52,4.715,4.7,8.54,57.69456
14,Neath Port Talbot CBC,159.615,38.43,1277.772983,431.234159,0.18
15,Newport City Council,128.325,4.68,7.92,372.664636,5.52
16,Pembrokeshire County Council,955.275,0.29,28.86,3.93,4.04
17,Powys County Council,555.85375,6.64,5.344,5.772,3.703
18,Rhondda Cynon Taff CBC,217.9575,268.095,28.376,7.094,127.4241624
19,Torfaen CBC,25.005,891.28958912,605.5894292,204.3796916,0.304
20,Vale of Glamorgan Council,42.69,179.145,1034.628884,349.175732,61.6355052
21,Wrexham CBC,190.47,18.28,7.008,1.752,3.16
