,Authority,Brown glass,Clear glass,Green glass,Mixed glass,Mixed Plastic Bottles,Plastics,Aluminium cans,Steel cans,Mixed cans,Composite food and beverage cartons,Co mingled materials,sum_dry_rec
0,Blaenau Gwent CBC,0.0,0.0,0.0,45.64,1.264,98.12,0.0,0.0,0.0,0.0,0.0,3482.075
1,Bridgend CBC,0.0,0.0,0.0,140.55,0.6,678.79,55.73,0.0,0.0,0.0,0.0,11110.72
2,Caerphilly CBC,0.0,0.0,0.0,33.08,0.0,0.0,0.0,0.0,0.0,0.0,10099.57,23896.75
3,Cardiff County Council,0.0,0.0,0.0,42.72,0.0,0.0,0.0,0.0,0.0,0.31,909.64,20462.37
4,Carmarthenshire County Council,0.0,276.9,0.0,3600.98,0.0,679.18,0.0,0.0,66.1,0.0,1676.42,22162.17
5,Ceredigion County Council,0.0,0.0,0.0,1333.47,58.07,138.89,14.42,14.26,9.78,0.03,57.8,7310.7
6,City  and County of Swansea ,0.0,0.0,0.0,0.0,0.0,635.54,0.0,0.0,0.0,11.21,1511.0,15805.83
7,Conwy CBC,0.0,0.0,0.0,503.33,0.0,340.4,0.0,0.0,66.85,0.0,0.0,8536.25
8,Denbighshire County Council,17.93,30.09,45.34,0.0,0.0,159.8,0.0,0.0,0.0,0.0,0.0,5775.434
9,Flintshire County Council,0.0,0.0,0.0,413.44,31.46,200.9,0.0,0.0,47.542,4.796,0.0,16500.338
10,Gwynedd Council,0.0,0.0,0.0,314.51,25.46,4.16,0.0,0.0,0.0,1.82,0.0,10204.76
11,Isle of Anglesey CC,35.64,55.77,75.55,50.57,0.0,189.94,0.0,0.0,7.27,1.71,0.0,5232.56
12,Merthyr Tydfil CBC,0.0,0.0,0.0,126.529,13.46,0.0,0.0,0.0,4.276,0.0,0.0,5084.354
13,Monmouthshire CC,0.0,0.0,0.0,151.36,0.0,9.43,8.54,4.7,0.0,0.0,0.0,8845.97
14,Neath Port Talbot CBC,0.0,0.0,0.0,212.82,38.43,0.0,0.0,0.0,0.0,0.18,0.0,11525.97
15,Newport City Council,0.0,0.0,0.0,171.1,4.68,166.46,0.0,7.92,0.0,5.52,321.1,10019.69
16,Pembrokeshire County Council,0.0,0.0,0.0,1273.7,0.29,0.0,3.93,28.86,0.0,4.04,0.0,11649.93
17,Powys County Council,0.0,165.02,0.0,664.129,6.64,393.967,5.772,0.0,6.68,3.703,602.362,14139.857
18,Rhondda Cynon Taff CBC,0.0,0.0,0.0,290.61,0.0,536.19,0.0,0.0,35.47,0.0,0.0,19089.25
19,Torfaen CBC,0.0,0.0,0.0,33.34,0.0,0.0,0.0,0.0,0.0,0.304,465.36,5399.284
20,Vale of Glamorgan Council,0.0,0.0,0.0,56.92,0.0,358.29,0.0,0.0,0.0,0.0,0.0,9268.95
21,Wrexham CBC,0.0,0.0,0.0,253.96,18.28,0.0,0.0,0.0,8.76,3.16,743.8,18624.78
