,Authority,DRS Glass Bottles,DRS Plastic Bottles,DRS Ferrous Cans,DRS Aluminium Cans,DRS Beverage Cartons
0,Blaenau Gwent CBC,21.75277535,12.307614,3.40137696,4.6246792,1.305353
1,Bridgend CBC,85.5401449,48.398196,13.37550144,18.1859888,5.133142
2,Caerphilly CBC,20.8357897,11.788788,3.25799232,4.4297264,1.250326
3,Cardiff County Council,133.0852851,75.299004,20.80990656,28.2941712,7.986258
4,Carmarthenshire County Council,49.4577336,27.982944,7.73346816,10.5148032,2.967888
5,Ceredigion County Council,20.51045285,11.604714,3.20712096,4.3605592,1.230803
6,City  and County of Swansea ,112.0381256,63.390624,17.51886336,23.8195072,6.723248
7,Conwy CBC,25.2530919,14.288076,3.94870464,5.3688528,1.515402
8,Denbighshire County Council,8.2434222,4.664088,1.28898432,1.7525664,0.494676
9,Flintshire County Council,113.958452895,64.4771358,17.819135712,24.22777224,6.8384841
10,Gwynedd Council,39.69027915,22.456566,6.20617824,8.4382248,2.381757
11,Isle of Anglesey CC,16.6828164,9.439056,2.60861184,3.5467968,1.001112
12,Merthyr Tydfil CBC,19.3771981,10.963524,3.02991936,4.1196272,1.162798
13,Monmouthshire CC,80.8323842,45.734568,12.63937152,17.1851104,4.850636
14,Neath Port Talbot CBC,37.95791,21.4764,5.935296,8.06992,2.2778
15,Newport City Council,42.6633377,24.138708,6.67106112,9.0703024,2.560166
16,Pembrokeshire County Council,62.2383742,35.214168,9.73191552,13.2319904,3.734836
17,Powys County Council,70.520745835,39.9002934,11.026990176,14.99283752,4.2318493
18,Rhondda Cynon Taff CBC,30.86897285,17.465514,4.82683296,6.5627992,1.852403
19,Torfaen CBC,28.73521105,16.258242,4.49318688,6.1091576,1.724359
20,Vale of Glamorgan Council,66.3227573,37.525092,10.37057088,14.1003376,3.979934
21,Wrexham CBC,44.0360749,24.915396,6.88570944,9.3621488,2.642542
